"Наявне населення - Рік, Регіон, Зміст , Тип поселення"

" "	" "	"Частка в населенні регіону, %"
" "	" "	" сільська місцевість"
"2016"
" "	"Україна"	30.8
" "	"Автономна Республіка Крим"	
" "	"Вінницька область"	49.2
" "	"Волинська область"	47.7
" "	"Дніпропетровська область"	16.4
" "	"Донецька область"	9.3
" "	"Житомирська область"	41.2
" "	"Закарпатська область"	62.9
" "	"Запорізька область"	22.8
" "	"Івано-Франківська область"	56.3
" "	"Київська область"	37.8
" "	"Кіровоградська область"	37.1
" "	"Луганська область"	13.1
" "	"Львівська область"	39.0
" "	"Миколаївська область"	31.7
" "	"Одеська область"	33.2
" "	"Полтавська область"	38.0
" "	"Рівненська область"	52.4
" "	"Сумська область"	31.4
" "	"Тернопільська область"	55.4
" "	"Харківська область"	19.4
" "	"Херсонська область"	38.8
" "	"Хмельницька область"	43.6
" "	"Черкаська область"	43.2
" "	"Чернівецька область"	56.9
" "	"Чернігівська область"	35.4
" "	"м. Київ"	x
" "	"м. Севастополь (міськрада)"	

"Дані станом на 1 січня відповідного року."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

