"region","city","village"
"Вінницька область",50.9,"49.1"
"Волинська область",52.3,"47.7"
"Дніпропетровська область",83.6,"16.4"
"Донецька область",90.8,"9.2"
"Житомирська область",58.9,"41.1"
"Закарпатська область",37,"63.0"
"Запорізька область",77.2,"22.8"
"Івано-Франківська область",43.9,"56.1"
"Київська область",62.1,"37.9"
"Кіровоградська область",62.9,"37.1"
"Луганська область",86.9,"13.1"
"Львівська область",61,"39.0"
"м. Київ",100,"0"
"Миколаївська область",68.3,"31.7"
"Одеська область",66.9,"33.1"
"Полтавська область",62.1,"37.9"
"Рівненська область",47.5,"52.5"
"Сумська область",68.7,"31.3"
"Тернопільська область",44.7,"55.3"
"Харківська область",80.7,"19.3"
"Херсонська область",61.2,"38.8"
"Хмельницька область",56.5,"43.5"
"Черкаська область",57,"43.0"
"Чернівецька область",43.1,"56.9"
"Чернігівська область",64.8,"35.2"
