"Наявне населення - Рік, Регіон, Зміст , Тип поселення"

" "	" "	"Частка в населенні регіону, %"
" "	" "	" міські поселення"
"2018"
" "	"Україна"	69.3
" "	"Автономна Республіка Крим"	
" "	"Вінницька область"	51.2
" "	"Волинська область"	52.3
" "	"Дніпропетровська область"	83.8
" "	"Донецька область"	90.8
" "	"Житомирська область"	59.0
" "	"Закарпатська область"	37.0
" "	"Запорізька область"	77.3
" "	"Івано-Франківська область"	44.0
" "	"Київська область"	62.1
" "	"Кіровоградська область"	63.1
" "	"Луганська область"	86.9
" "	"Львівська область"	61.0
" "	"Миколаївська область"	68.3
" "	"Одеська область"	66.9
" "	"Полтавська область"	62.2
" "	"Рівненська область"	47.5
" "	"Сумська область"	68.9
" "	"Тернопільська область"	44.9
" "	"Харківська область"	80.9
" "	"Херсонська область"	61.3
" "	"Хмельницька область"	56.7
" "	"Черкаська область"	56.5
" "	"Чернівецька область"	43.1
" "	"Чернігівська область"	64.9
" "	"м. Київ"	100.0
" "	"м. Севастополь (міськрада)"	

"Дані станом на 1 січня відповідного року."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

